Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
Name,ABT-263 (Navitoclax),ABT-737,Roxadustat (FG-4592),Selumetinib (AZD6244),Bortezomib (PS-341),PD184352 (CI-1040),Gefitinib (ZD1839),Imatinib Mesylate (STI571),Lapatinib (GW-572016) Ditosylate,Lenalidomide (CC-5013),Panobinostat (LBH589),PD0325901,Perifosine (KRX-0401),Rapamycin (Sirolimus),Trichostatin A (TSA),"Vorinostat (SAHA, MK0683)",Y-27632 2HCl,"Olaparib (AZD2281, Ku-0059436)",Pictilisib (GDC-0941),SL-327,Crizotinib (PF-02341066),SB216763,"Refametinib (RDEA119, Bay 86-9766)",OSI-906 (Linsitinib),U0126-EtOH,GDC-0879,LY294002,OSU-03012 (AR-12),GSK690693,Palbociclib (PD-0332991) HCl,Docetaxel,Gemcitabine HCl,Paclitaxel,Cisplatin,PD98059,Regorafenib (BAY 73-4506),XAV-939,Doxorubicin (Adriamycin),"Fluorouracil (5-Fluoracil, 5-FU)",Methotrexate,Epirubicin HCl,Etoposide,KU-0063794,Vinblastine,CHIR-99021 (CT99021),"Vemurafenib (PLX4032, RG7204)",Camptothecin,Ifosfamide,Mercaptopurine (6-MP),Ruxolitinib (INCB018424),Tipifarnib ,Pimasertib (AS-703026),BIX 02188,BIX 02189,AZD8055,PD318088,Fasudil (HA-1077) HCl,BIRB 796 (Doramapimod),Metformin HCl ,Cyclophosphamide Monohydrate,AZD8330,RAF265 (CHIR-265),NVP-BHG712,Torkinib (PP242),SB590885,"BKM120 (NVP-BKM120, Buparlisib)",Honokiol,TAK-733,"Gedatolisib (PF-05212384, PKI-587)",ICG-001,Trametinib (GSK1120212),ZM 336372,PAC-1,PF-04691502,AZ 628,CPI-613,Lonafarnib,Dabrafenib (GSK2118436),Alpelisib (BYL719),GW5074,Niclosamide,Nifuroxazide,JNK-IN-8,QNZ (EVP4593),Tofacitinib (CP-690550) Citrate,VX-702,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",CZC24832,"Duvelisib (IPI-145, INK1197)",IPA-3,PF-3758309,SCH772984,Encorafenib (LGX818),(+)-JQ1,LGK-974,Erastin,FRAX597,SC75741,TAK-632,EHop-016 ,SH-4-54,JSH-23,Sorafenib,FTI 277 HCl,EHT 1864,JNK Inhibitor IX,FR 180204,XMD8-92,GDC-0623,GDC-0994,ML141,CCG-1423,Erlotinib,LY3009120,BI-847325,"Ulixertinib (BVD-523, VRT752271)",CEP-32496,AZD5363,"Cobimetinib (GDC-0973, RG7420)",Nutlin-3a,Deltarasin,Salirasib,ABT-199,LDE225,PIR3.5,Fl172,FRAX1036,FRAX716,SCH51344,Kobe2602,#N/A
10,75.43776037,80.50821134,-2.63211308,100.4114359,117.3237044,112.517003,24.86961105,13.19824391,87.01582834,-3.715818807,119.0066778,116.3548284,5.036360884,9.758734181,114.9176624,107.71389,-15.52354627,58.96328027,73.61663237,12.2867828,112.3178451,38.78733509,110.3585626,8.551227635,35.17558074,14.56005293,-12.17015884,105.1194555,71.32721431,30.76540081,81.90590465,91.89788675,95.86489563,-53.74032105,9.11999372,43.75551581,-8.504578051,85.65940197,-23.13819379,74.25896126,91.54801487,53.11055166,74.36302572,102.5555225,110.5855874,2.750939605,92.05179176,-29.83613385,66.45767597,26.52262618,55.39565808,115.7761425,16.51656128,53.21821018,115.6232114,75.0108952,-22.71391298,-18.87424943,-50.94427003,-51.9110132,109.9629392,25.45757015,80.43448824,101.9995972,118.5908034,108.6866926,13.37419082,113.2855499,110.9023733,47.44506029,103.1647867,-20.48184683,90.44965619,101.9049255,95.64021133,-48.24976929,16.70772518,-40.19721743,17.54520514,-47.73999888,94.28203731,-25.96187873,95.21418891,-40.88540748,-66.58693918,-60.75006799,96.28652738,-21.75081102,36.59477338,70.42160251,107.1678414,117.1772464,17.11983036,95.37748377,-64.2432184,107.9286914,80.28729134,-39.39160177,103.608754,106.4520788,83.44341002,-68.11791767,6.231220918,-48.91631706,-32.80883995,78.79377089,-123.693786,19.42492418,107.274924,79.13756239,8.378508804,40.54555766,-17.10996749,107.351009,110.7072031,102.6703723,10.91749356,-83.81960809,96.7808294,56.2613379,97.5670411,2.759490371,-46.78030103,-65.02379418,-97.48672915,3.452709295,19.6982666,99.2324573,-100.248333,-122.0593674,100
3.333333333,5.355731114,6.678067406,-32.71391806,51.27506995,115.7071169,57.64991506,-20.541965,-28.37371251,-37.21739716,-40.72329283,115.0378748,110.0517519,-14.9816934,12.32087289,111.2000493,102.2935672,-32.04467595,-18.93255435,38.0122343,-10.33467713,61.13607437,-13.77777529,112.6085079,-33.38854282,14.61208516,-27.83544808,-34.24438327,25.06518046,-21.72794097,-7.329367371,95.08979484,86.83102422,95.57602705,-31.70377514,-20.53119971,4.191285723,6.541707083,85.38847553,-49.23325353,77.02564045,89.33754226,7.139180605,46.40018839,105.6936042,58.23762811,-27.86623533,95.21600952,-17.81647583,68.10532676,-47.16104535,17.56159062,105.944856,-36.09356563,-15.78285601,99.52174888,41.71560501,-38.42576525,-27.88626203,-54.55635751,-50.79498013,107.7235906,-1.170651334,12.73151599,67.14222481,-3.440950267,93.22972553,-19.33122219,114.6364415,102.7005315,34.27477763,108.3007236,-36.53961474,37.51546095,96.89643127,53.7716752,-65.58196323,-15.24213526,-49.99209173,-2.79645482,-57.03966765,81.35935742,-51.00435012,34.60976961,-20.08677476,-58.11928855,-57.26360251,43.66365621,-28.7474099,-11.43458979,-24.15205729,98.19826484,115.9232528,0.240231355,77.48060009,-61.49852233,98.07709243,10.14818963,-102.7591381,20.99734759,-58.29168032,-77.55809407,-98.39693124,-57.5900075,-69.24792087,-99.57202185,80.35774042,-128.661855,-31.22232672,105.5108791,15.7193027,-82.97703712,-78.21467947,-64.4799273,111.933017,112.088005,95.29294488,-36.19884957,-75.40517026,100.6639826,-40.80903721,-33.9050276,-128.4871413,-125.9678823,-156.1961725,-122.5947804,-81.0157348,12.87315996,36.96674451,-131.6009905,-170.0549151,
1.111111111,5.264226161,-25.04006145,-59.72761577,27.62552495,109.9997197,-6.879019462,-43.47741252,-62.81904783,-44.70644964,-32.30842552,109.0272552,66.44874433,-36.80831619,16.89253214,103.7737944,72.56163408,-47.73149576,-39.23588878,9.222263963,-34.57093036,40.37521517,-63.63362134,72.42347954,-33.12479324,15.14496695,-51.985579,-25.33610689,-3.694288229,-3.437715516,0.977847054,97.70037735,87.77119276,95.69803365,-50.80139724,-38.49487808,-12.25986958,-9.97224574,86.45423911,-36.16060465,70.7189755,106.6373612,-6.500440143,9.017723478,104.2474671,-20.89694559,-68.17997171,104.1570184,-57.5785678,47.29759099,-62.96756927,5.055830101,58.61267348,-45.76827976,-66.03529477,85.92362319,23.51498076,-62.76548172,-65.0885783,-72.09974204,-74.50112479,104.2025336,-38.93189445,-46.50744686,-29.85251932,-34.691697,9.397981628,-29.89439332,114.820323,81.76353253,-17.09733543,109.2965965,-21.47954034,27.8808002,71.3933459,36.88188915,-50.2597212,-11.42796022,-35.47637931,-10.91272799,-50.0904046,42.32915011,-47.80189958,-34.26567459,-44.93626163,-62.61072998,-44.15522054,24.89500209,-35.59471887,-6.666596218,-24.90445344,59.41745658,103.989179,-84.61990961,48.01597785,-127.517762,-98.3772055,-73.46077571,-127.0499801,-20.88040212,-83.91541884,-111.5793626,-124.8942383,-87.64076606,-70.39201389,-127.359956,63.82475087,-157.7235085,-117.2237427,94.67299299,24.62688407,-29.34838126,-68.91258326,-63.80079819,111.6174051,114.762252,36.6624045,-34.63488004,-64.32775729,92.75114216,-36.30593216,-73.03244532,-96.06929371,-122.3355278,-148.0832567,-140.0633337,-145.0877619,-99.20005072,7.665564139,-168.9305478,-168.7811957,
0.37037037,-36.38129307,-25.79722009,-33.93936675,23.76437474,108.4961677,17.66942714,-46.81824044,-27.2792415,-72.65672746,-38.24368801,104.5345414,35.16481545,-65.21970721,18.86796261,95.62447085,-27.50172413,-39.38839704,-45.15141491,15.38718594,-42.16942994,-1.022702424,-39.49425571,12.54514973,-43.12036378,-32.7910693,-64.65273534,-31.90652141,-23.98326895,-30.24328431,-20.06649809,96.2739766,86.46679862,92.9600619,-62.4871181,-43.08089105,-37.69824672,-33.44595769,92.04860079,-50.25416174,79.36888495,64.96313449,-37.92790621,-27.90362824,103.9675696,-55.32101312,-59.71232108,100.3828967,-54.11212901,16.24711121,-59.28629867,2.253913455,44.43559426,-51.44675801,-53.36203826,54.04840771,11.88493298,-58.22306324,-70.2936983,-64.66073528,-56.97230513,85.44480313,-32.80736709,-84.32330823,-75.93212316,-59.93079412,-26.00739395,-46.85700371,94.79909015,69.97691241,-41.97049021,104.0514231,-44.06419011,-38.82083732,21.39215113,14.26810965,-50.56740405,-21.4285633,-64.63706736,-31.84426514,-47.79825836,-34.70080004,-45.15109345,-65.35984898,-40.17354952,-72.5567148,-42.96090129,10.59048027,-41.16031938,-93.9389136,-132.629547,16.4294294,36.8681158,-152.1157619,14.5808456,-126.1172343,-133.3593995,-125.3901998,-132.6971782,-58.24095698,-112.8136305,-151.7747884,-139.7223602,-126.3257636,-108.4824212,-132.6633626,65.5183467,-142.0669055,-119.6105575,37.37816713,-42.66607489,-83.10384546,-97.8502464,-104.8049793,70.10317267,110.5014918,-22.85861222,-78.24285911,-95.79031537,18.6443484,-104.1089425,-136.149183,-126.0129697,-119.2977636,-116.7756866,-122.0593674,-111.785074,-94.26297936,-13.18736284,-133.8243634,-148.6299416,
0.12345679,-53.53219214,-35.59722121,-35.57389642,13.75086206,109.843623,-11.87770184,-45.64482397,-26.81274565,-69.88466563,-44.88766533,98.17763848,21.66873188,-51.39169391,5.782754232,0.44675948,-62.70780652,-54.7540524,-60.15822732,-32.26715858,-51.40604763,-5.334200537,-37.94943678,9.207910244,-43.94031993,-46.54013715,-59.27367943,-36.2395501,-48.33435192,-27.26309356,-27.27027042,90.02831495,79.63263452,81.71930631,-37.42552607,-56.70256965,-50.76551295,-45.56587852,16.25379168,-58.4806365,86.1976664,8.057818571,-39.88001189,-53.0782558,100.6267416,-14.30634243,-38.62239098,88.60355906,-66.14453129,-27.59132343,-42.21263115,2.636241263,34.13641138,-46.47831712,-57.36555659,30.12014879,-11.06019729,-64.84643735,-73.16661869,-60.11467558,-84.8895175,32.14830678,-67.91598346,-109.6497946,-85.01878072,-96.68159945,-53.11989732,-30.0582481,53.34565278,2.206577631,-48.89426474,48.36992946,-46.50198503,-23.57870207,-0.637213012,-11.18035745,-58.36871193,-44.22076245,-84.13214432,-44.44651792,-72.72967262,-51.46860531,-62.49603164,-80.75309475,-93.12595084,-67.50270531,-57.56764414,-6.146374656,-51.03894168,7.668382102,-25.46241013,29.58368118,26.39092898,-74.46960651,26.54591695,-83.54344771,-81.1989024,-79.71383585,-97.421916,-91.36893125,-130.7161501,-84.23103071,-105.3319384,-136.5944211,-102.8972183,-136.9917539,-74.61332263,-170.7058645,-207.942429,-20.59578785,-23.36302762,-59.05253035,-94.80121032,-85.0566939,4.216377297,84.0633619,-55.53853036,-125.4099256,-58.28604439,19.44746788,-34.26290891,-86.45722156,-81.36516223,-138.8347018,-135.4390563,-143.8957635,-159.3522912,-165.5912615,-103.5143522,-182.6822077,-170.595964,
0.041152263,-48.58913042,-39.97331106,-42.2124911,0.588502447,104.364091,-31.53870738,-38.55049874,-40.17785154,-43.28363732,-41.52351262,96.9180997,3.288795689,-43.12215799,2.187147815,-28.53160341,-74.82593313,-43.27107782,-50.93775757,-31.21395451,-45.01864301,3.870121278,-39.16053176,-17.33570319,-23.60468963,-40.42365896,-87.92908366,-39.27536151,-51.09206004,-41.59528122,-28.92991909,84.62414004,66.76452613,68.45467645,-57.05244153,-58.59546624,-55.35332014,-45.05632152,-23.88279292,-43.20289766,77.63567348,-7.063823584,-39.6144681,-45.2841868,93.47500154,-47.66171271,-46.11237479,86.36603108,-41.20037277,-44.89256702,-61.2816857,-14.54666277,12.43475678,-55.22270026,-64.80820457,-10.04611829,-12.34736757,-49.55150445,-54.06479318,-74.50476601,-52.64107725,20.83140368,-62.31032956,-86.30230978,-77.1045951,-89.00773417,-47.18471326,-37.28424366,25.94913447,-32.12463887,-38.40209734,36.91830133,-39.72385919,-38.01976953,-23.26009556,-39.45440912,-65.39444054,-49.35487872,-68.8972915,-47.62894176,-56.61182463,-64.3057166,-56.50258811,-62.03177645,-61.5147236,-68.29102884,-35.78406216,-9.388878585,-38.14903274,-54.54660735,-77.21148461,12.28702363,-23.29257854,-108.2457123,-41.66288003,-87.95637793,-109.722325,-107.9808238,-112.2838534,-105.6334605,-95.38171071,-97.63044527,-143.2419961,-92.73846132,-133.6806473,-102.8352231,-119.2273145,-133.9962592,-165.5574459,-20.87758416,-76.60562254,-137.0255695,-85.96689598,-119.7796353,-15.10075979,40.80481026,-101.0655423,-115.7161325,-109.0121983,-47.88494257,-101.6685864,-122.6342319,-117.7929713,-130.189191,-128.7125783,-124.1249344,-128.4448718,-113.3631333,-113.2870483,-98.92107238,-133.2072295,
0.013717421,-46.28715286,-45.67532562,-29.36053064,-17.21907923,47.97371475,-18.69212956,-39.28971522,-40.76994242,-55.14160279,-55.81981598,54.86529372,4.388649349,-43.68554143,7.21633184,-50.75474766,-47.90374038,-46.41454211,-46.57422723,-38.3513409,-60.02724964,-48.66448744,-32.19359577,-31.26060409,-49.01256511,-53.34021116,-73.29726214,-60.02724964,-52.18653105,-48.30564449,-45.22677193,59.20549927,42.18916631,41.18261182,-50.92160963,-62.35255199,-66.48821706,-48.32538085,-31.23548508,-64.69220806,-54.21399375,-38.32981032,-55.42329451,-48.73805025,52.66379219,-18.91430282,-43.97680089,62.42866912,-39.8112484,-32.12645947,-37.72665155,-39.74934771,8.489497933,-33.13325603,-47.85105601,-38.46945986,-17.01358743,-46.1979434,-46.20522583,-54.92776166,-58.82022287,-3.202450539,-68.63148265,-67.31154141,-68.86634116,-98.14536877,-51.29018567,-39.69837067,12.02511985,-54.7457008,-61.31991848,18.65213518,-50.71123213,-39.98966805,-25.39020763,-37.39530078,-48.59204371,-50.22148842,-71.6263838,-64.29115173,-68.43303631,-76.47648513,-81.53777706,-85.54675721,-70.08979014,-76.12328706,-66.31202728,-28.23035706,-33.41362976,12.49837087,4.46435805,21.38059057,-10.05660583,-93.02871152,-30.28676297,-114.6030371,-51.64410535,-88.09727609,-76.90150867,-106.3294974,-72.82673402,-65.67756162,-63.07094574,-69.52408126,-106.8113691,-134.1963345,-128.9351974,-163.9399351,-152.9893305,-54.5353355,-30.92080467,-43.13667473,-62.59752794,-108.0597267,-101.7953947,-4.15579109,-111.8273434,-98.67590959,-49.94769156,8.045989158,-18.27942218,-36.06076937,-79.88291363,-165.9265991,-169.6970337,-184.7703184,-180.5715534,-164.5965205,-158.3519143,-146.1614059,-119.1258678,
0.004572474,-34.08290394,-29.91314879,-26.85580681,-30.69722065,-17.8344949,-33.50516678,-41.58272171,-38.74965658,-42.57312827,-43.55815218,-15.58096114,-18.29022545,-39.14438383,6.530941795,-39.15514912,-47.4820999,-46.93307018,-47.41212553,-36.83164098,-44.72080336,-27.33665637,-28.74690918,-18.77286923,-25.65727134,-22.68246323,-42.46188695,-28.18173153,-19.1819502,-24.00121109,-21.64540709,53.18949712,-10.54818868,26.50952336,-31.11886112,-38.45002271,-45.17294548,-38.4249037,-27.49992991,-40.61743416,-34.51172127,-38.79989459,-27.34921587,-20.18850469,24.76195816,-33.43547706,-37.79401407,10.92729286,-32.39408894,-26.90313338,-25.75979118,-26.28776767,-15.04368892,-32.42503929,-45.57165403,-36.16456936,-30.02001532,-38.37114699,-41.13847208,-30.70274354,-45.13470797,-10.89816312,-50.15230529,-54.60733455,-66.37392797,-71.06381575,-38.55502846,-27.1816865,12.87170285,-35.55466548,-35.05945994,8.201841773,-27.57857917,-26.13847777,-25.52493267,-25.95095508,-29.51570673,-23.7971751,-43.37782066,-43.27222536,-44.23714793,-42.29455854,-39.14308504,-42.94815703,-40.14077856,-42.42382175,-44.1260908,-21.35391835,-0.994052299,-47.64823367,-84.9186137,-4.113521644,-72.95917828,-99.54384222,-73.41568831,-113.2701405,-95.01819347,-81.40743167,-96.48353429,-121.5493161,-86.86300825,-101.4516032,-106.7606457,-99.41703388,-110.632527,-91.47319589,-100.3497797,-97.0555808,-127.2444196,-90.36010046,-61.31535473,-86.30505155,-78.25413096,-83.39409566,-95.17881737,-1.867605048,-116.0655599,-85.06796575,-89.09483503,-66.00162737,-84.58891202,-93.49085747,-99.18032498,-108.3048895,-110.3930002,-108.6740427,-107.4087773,-97.25847414,-105.9321646,-100.8767388,-97.32892322,
IC50,7.2185,7.8655,25,2.6025,0.013505,3.371,25,25,25,25,0.01331,0.5169,14.098,25,0.29675,1.058,25,25,6.553,25,2.569,17.066,0.94735,25,15.64,25,25,3.7845,17.352,25,0.003948,0.026935,0.0264,25,25,12.215,25,0.2054,25,0.037465,0.32225,8.932,5.782,0.02502,3.3205,25,0.008498,25,1.486,25,6.5535,0.37665,25,15.8605,0.2484,2.9495,25,25,25,25,0.15505,17.6,5.898,3.216,6.7775,1.5245,25,0.10952,0.32595,9.372,0.078855,25,3.63,0.70085,1.5439,25,22.5,25,21.5,25,1.243,25,3.511,25,25,25,2.633,25,16.627,10,0.6492,0.31075,16.992,0.82615,25,2.75,5.1065,25,3.937,5.8655,15,25,22.5,25,25,0.35565,25,16.2915,0.33935,6.5825,25,25,25,0.27845,0.04734,0.7708,20.22,25,0.4371,10,6.276,25,25,25,25,25,20.845,2.6375,25,25,
